,MLP (ADAM)
0,0.74419329961195
1,0.3449249963301647
2,0.6648126573835234
3,0.7757426632671471
4,0.32299276674840943
5,0.03804001317888103
6,0.8660229610079611
7,0.153677496855931
8,0.4026628688362714
9,0.5086374297155748
10,0.3381214654188814
11,0.14411162645459005
12,0.7759078220619862
13,0.8635349302210044
14,0.0969786489889105
15,0.05998028275411658
16,0.06556164448948583
17,0.5444778841971132
18,0.36520426799231354
19,0.9366248346455941
20,0.09156849790814882
21,0.5071367755426496
22,0.8094107155472444
23,0.9163906967327479
24,0.5798523533978978
25,0.001607703443031886
26,0.4870520663923071
27,0.459046215132617
28,0.9121823519794335
29,0.8739811559776768
