,SLM
0,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.13303501411983773, 'maximum_bias_connection_weight': 0.2233209951285466, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC492FBC88>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
1,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.2269312780669587, 'maximum_bias_connection_weight': 0.9686492483888843, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC493238C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
2,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.43578691167426775, 'maximum_bias_connection_weight': 0.5783130172934561, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC49340708>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
3,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.48158467020692153, 'maximum_bias_connection_weight': 0.9348156341226712, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC4936AD48>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
4,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.24268013964415489, 'maximum_bias_connection_weight': 0.6192214108867312, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC49398A48>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
5,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.2938903345397659, 'maximum_bias_connection_weight': 0.6428824100916375, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC493C45C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
6,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.35209702385721864, 'maximum_bias_connection_weight': 0.5755253584073338, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC493F2F48>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
7,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.22570546707442427, 'maximum_bias_connection_weight': 0.27437310137103166, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC49423248>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
8,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.22551188412252976, 'maximum_bias_connection_weight': 0.6915967181516376, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC4944B688>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
9,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.4029162869692501, 'maximum_bias_connection_weight': 0.5447336272086769, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC4946CD48>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
10,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.1713255648759715, 'maximum_bias_connection_weight': 0.14583636616587864, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC494C6548>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
11,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.2521678999245859, 'maximum_bias_connection_weight': 0.7788169656120374, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC494F3148>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
